,Unnamed: 0,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2599,2599,2012-05-31,sh.000001,27.204424009193886,27.461876435923962,27.05186034266835,27.248588741463784,2384.668,7789022800,75383460178.0,3,0.004245,1,-0.521418,0.0
2600,2600,2012-06-01,sh.000001,27.268221918359707,27.562977381192013,27.11389324906272,27.272426194624288,2372.234,7702192300,77078144800.0,3,0.004195,1,0.050676,0.0
2601,2601,2012-06-04,sh.000001,26.747843573158875,26.77193883571295,25.979274107905134,25.985640016777452,2373.436,9017934700,86903299584.0,3,0.004906,1,-2.733842,0.0
2602,2602,2012-06-05,sh.000001,26.08858529078421,26.27811485805114,25.896318977646935,26.05239281822356,2308.55,6607852800,64099737588.0,3,0.003595,1,0.145804,0.0
2603,2603,2012-06-06,sh.000001,26.124678605885798,26.27444603206554,25.836606355794814,26.005570666050566,2311.916,5853202800,58562081283.0,3,0.003184,1,-0.102127,0.0
2604,2604,2012-06-07,sh.000001,26.305363327803654,26.38468929505988,25.591290802054942,25.679838413004703,2309.555,6023204800,59646400379.0,3,0.003275,1,-0.711178,0.0
2605,2605,2012-06-08,sh.000001,25.939412809358885,25.9525610884316,25.354284643385157,25.448147094141092,2293.13,6792464100,63755911203.0,3,0.003693,1,-0.509472,0.0
2606,2606,2012-06-11,sh.000001,25.476783768320587,26.049537083402335,25.383020475023727,25.932213977830386,2281.447,6419796700,60177220468.0,3,0.003489,1,1.069888,0.0
2607,2607,2012-06-12,sh.000001,25.71831150712398,25.79525769536251,25.43831067420132,25.613621061837577,2305.856,5994198200,55298586708.0,3,0.003254,1,-0.696702,0.0
2608,2608,2012-06-13,sh.000001,25.61195521652519,26.207038791389564,25.511667362421512,26.19137191285646,2289.791,7845434900,73945581880.0,3,0.004257,1,1.272302,0.0
2609,2609,2012-06-14,sh.000001,25.950558107758383,26.105323069875276,25.67854936603679,25.73568389395308,2318.924,7163372200,68928753615.0,3,0.003886,1,-0.990892,0.0
2610,2610,2012-06-15,sh.000001,25.811737665059987,26.09852086818306,25.48687799765394,25.95192648069355,2295.946,6868757900,67855914889.0,3,0.003726,1,0.474926,0.0
2611,2611,2012-06-18,sh.000001,26.084400846011448,26.312899294693004,26.008624715789935,26.134415868366496,2306.85,6059462200,60309396127.0,3,0.003285,1,0.398895,0.0
2612,2612,2012-06-19,sh.000001,26.082913484125392,26.082913484125392,25.78423138591389,25.831846797759447,2316.052,6013590500,57869602291.0,3,0.00326,1,-0.658754,0.0
2613,2613,2012-06-20,sh.000001,25.824132347443772,25.904489552274327,25.64832617251217,25.674821045575747,2300.795,5410395500,50568121867.0,3,0.002933,1,-0.344141,0.0
2614,2614,2012-06-21,sh.000001,25.58710635728218,25.58710635728218,24.899647693547934,25.040213307525953,2292.877,5899201200,54696856218.0,3,0.003198,1,-1.395627,0.0
2615,2615,2012-06-25,sh.000001,24.894194033299065,24.894194033299065,24.290126792642916,24.31114817396582,2260.877,5976895200,54809336014.0,3,0.003238,1,-1.626048,0.0
2616,2616,2012-06-26,sh.000001,24.123443103945775,24.412804401004664,23.911146984076304,24.270553110222444,2224.114,5294079800,47281397826.0,3,0.002867,1,-0.092042,0.0
2617,2617,2012-06-27,sh.000001,24.2284508531012,24.49813931028055,24.097146545800335,24.1687580627409,2222.067,5104912800,45220313771.0,3,0.002764,1,-0.230993,0.0
2618,2618,2012-06-28,sh.000001,24.234241648710906,24.311961265130194,23.740834132377202,23.750492068890637,2216.934,5418218300,50299744713.0,3,0.002933,1,-0.951362,0.0
2619,2619,2012-06-29,sh.000001,23.64603960150601,24.35816864105695,23.60915302673186,24.337266248684926,2195.843,6144188600,55964660552.0,3,0.003326,1,1.34745,0.0
2620,2620,2012-07-02,sh.000001,24.513548379420072,24.524515194393246,24.13750363164195,24.350731831626675,2225.431,6219620700,60638957821.0,3,0.003348,1,0.03052,0.0
2621,2621,2012-07-03,sh.000001,24.339983163063458,24.722017021369425,24.210721499419442,24.411872320889408,2226.11,6270302100,60441034732.0,3,0.003375,1,0.138493,0.0
2622,2622,2012-07-04,sh.000001,24.494014359983225,24.61171426389965,24.218614433161427,24.374628779262608,2229.193,5527365600,52367380262.0,3,0.002974,1,-0.084254,0.0
2623,2623,2012-07-05,sh.000001,24.194182035246513,24.194182035246513,23.687130452544736,23.859763588786087,2227.315,5796793400,52088149213.0,3,0.003118,1,-1.165615,0.0
2624,2624,2012-07-06,sh.000001,23.9069030448281,24.377762154969233,23.545811241877765,24.300538325845302,2201.353,7655791700,70766413523.0,3,0.004116,1,1.009655,0.0
2625,2625,2012-07-09,sh.000001,24.045406183657462,24.16405799918097,23.210381389334827,23.254129660276632,2223.579,7511147200,69313222932.0,3,0.004038,1,-2.372982,0.0
2626,2626,2012-07-10,sh.000001,23.177441281431683,23.400505901356183,22.974743603600217,23.127664236978397,2170.814,5899397200,53225562146.0,3,0.003172,1,-0.293759,0.0
2627,2627,2012-07-11,sh.000001,23.04006853763571,23.366713039305026,22.972165509664386,23.344739746375055,2164.437,5861447200,53413031939.0,3,0.003149,1,0.505722,0.0
2628,2628,2012-07-12,sh.000001,23.278919025044203,23.77430969055932,22.894406230261474,23.545196465631534,2175.383,8213376200,79627358213.0,3,0.004412,1,0.46465,0.0
2629,2629,2012-07-13,sh.000001,23.43971276067257,23.806377212822653,23.39513156707457,23.553208388324414,2185.491,5754683800,56114765517.0,3,0.003091,1,0.018488,0.0
2630,2630,2012-07-16,sh.000001,23.592712720018014,23.59620306257729,22.765085072142014,22.800801588899127,2185.895,6748768100,62714719943.0,3,0.003623,1,-1.735671,0.0
2631,2631,2012-07-17,sh.000001,22.691232596626463,23.14547291662742,22.672412510894937,23.06319205709091,2147.955,5518440800,52050624697.0,3,0.002963,1,0.615979,0.0
2632,2632,2012-07-18,sh.000001,23.03683600447002,23.243856947516946,22.619085629406932,23.220118651815532,2161.186,6655265900,59282117140.0,3,0.003573,1,0.366146,0.0
2633,2633,2012-07-19,sh.000001,23.124431703812704,23.789103983452605,23.038541512766038,23.53230599595239,2169.099,7933804900,68350742556.0,3,0.004257,1,0.725737,0.0
2634,2634,2012-07-20,sh.000001,23.43653972198232,23.54999568665054,23.080604106903643,23.210976334089246,2184.841,6434667200,54549966992.0,3,0.003452,1,-0.741616,0.0
2635,2635,2012-07-23,sh.000001,22.9240741420153,22.9240741420153,22.55504974233935,22.670845823041617,2168.638,5567708100,47984498101.0,3,0.002986,1,-1.255896,0.0
2636,2636,2012-07-24,sh.000001,22.490676719910923,23.01880917841104,22.46481645458539,22.773711771081125,2141.402,5441128600,46650467118.0,3,0.002918,1,0.242225,0.0
